month,account,amount
2023-01-01,Payroll,120000
2023-02-01,Payroll,121500
2023-03-01,Payroll,123000
2023-04-01,Payroll,124200
2023-05-01,Payroll,125000
2023-06-01,Payroll,126800
2023-07-01,Payroll,127900
2023-08-01,Payroll,129500
2023-09-01,Payroll,131000
2023-10-01,Payroll,132200
2023-11-01,Payroll,133800
2023-12-01,Payroll,135000
2024-01-01,Payroll,136500
2024-02-01,Payroll,138000
2024-03-01,Payroll,139200
2024-04-01,Payroll,140800
2024-05-01,Payroll,142000
2024-06-01,Payroll,143500
2024-07-01,Payroll,145200
2024-08-01,Payroll,146900
2024-09-01,Payroll,148000
2024-10-01,Payroll,149500
2024-11-01,Payroll,151200
2024-12-01,Payroll,152800
